                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92486,                  0.611,                0.90071,                0.96946,                0.98358,                0.98641,                0.77041,                0.84896,                0.51544,                0.89072,             0.00039008,             0.00039008,             0.00039008
                     37,                0.92904,                0.59867,                 0.9051,                0.97491,                0.97663,                0.98446,                0.77138,                0.83275,                0.51703,                 0.8856,             0.00038426,             0.00038426,             0.00038426
                     38,                0.92746,                0.59812,                0.90604,                0.97231,                 0.9862,                0.98676,                0.76502,                 0.8577,                0.53319,                0.88701,             0.00037844,             0.00037844,             0.00037844
                     39,                0.92866,                0.59958,                0.90833,                0.96175,                0.97804,                 0.9867,                0.76657,                0.87976,                0.52813,                  0.892,             0.00037262,             0.00037262,             0.00037262
                     40,                0.95201,                0.59521,                0.91346,                0.97652,                0.98615,                0.98794,                0.76598,                0.88661,                0.50035,                0.89188,             0.00036679,             0.00036679,             0.00036679
                     41,                0.93619,                0.58589,                0.90193,                0.97912,                0.98027,                0.98626,                0.77731,                0.82976,                0.48162,                 0.8835,             0.00036097,             0.00036097,             0.00036097
                     42,                0.88023,                0.55912,                0.89576,                0.97962,                0.98075,                0.98642,                0.77772,                0.84747,                0.48386,                0.88219,             0.00035515,             0.00035515,             0.00035515
                     43,                0.91982,                0.57832,                0.89775,                0.98127,                0.97943,                0.98507,                0.78453,                0.81193,                 0.4915,                0.88328,             0.00034933,             0.00034933,             0.00034933
                     44,                0.91267,                0.56437,                0.89905,                0.98253,                0.98562,                0.98632,                0.78376,                0.80958,                0.47453,                0.88423,             0.00034351,             0.00034351,             0.00034351
                     45,                0.91683,                0.57023,                0.90201,                0.97796,                0.98389,                 0.9866,                 0.7727,                0.84713,                0.49452,                0.88266,             0.00033769,             0.00033769,             0.00033769
                     46,                0.91494,                0.56611,                0.89785,                0.98139,                0.98551,                0.98762,                0.77731,                0.85468,                 0.4814,                0.88368,             0.00033187,             0.00033187,             0.00033187
                     47,                0.93903,                0.57147,                0.91117,                0.97752,                0.98279,                0.98548,                0.79155,                0.79959,                0.47782,                 0.8774,             0.00032605,             0.00032605,             0.00032605
                     48,                0.91335,                0.55149,                0.90126,                0.98077,                0.98362,                0.98641,                0.78276,                0.81232,                0.47854,                0.87963,             0.00032022,             0.00032022,             0.00032022
                     49,                0.89257,                0.53825,                 0.9019,                0.98025,                0.98197,                0.98509,                0.76348,                0.86519,                0.48594,                0.88356,              0.0003144,              0.0003144,              0.0003144
                     50,                0.89357,                0.53774,                0.89885,                0.98166,                0.97878,                0.98658,                0.80226,                0.80669,                0.47458,                0.87783,             0.00030858,             0.00030858,             0.00030858
                     51,                 0.9043,                0.55629,                0.90372,                0.97897,                0.98227,                0.98672,                0.78731,                0.82031,                0.47474,                0.87979,             0.00030276,             0.00030276,             0.00030276
                     52,                0.89484,                 0.5492,                0.89906,                0.98219,                0.97827,                0.98688,                0.78593,                0.81374,                0.47751,                0.88114,             0.00029694,             0.00029694,             0.00029694
                     53,                0.91553,                0.54328,                0.90357,                0.97664,                0.98753,                0.98592,                0.78445,                0.82451,                 0.4777,                0.88319,             0.00029112,             0.00029112,             0.00029112
                     54,                0.88347,                0.53555,                0.89594,                 0.9857,                0.98222,                0.98779,                0.79555,                0.79992,                0.44938,                 0.8782,              0.0002853,              0.0002853,              0.0002853
                     55,                 0.8977,                0.53598,                0.89801,                0.97981,                0.98206,                0.98761,                0.76792,                0.88551,                0.47267,                0.89075,             0.00027948,             0.00027948,             0.00027948
                     56,                0.88295,                0.52063,                0.89313,                0.96939,                 0.9759,                0.97979,                  0.779,                0.81415,                0.46324,                0.88313,             0.00027366,             0.00027366,             0.00027366
                     57,                0.88784,                 0.5288,                0.90168,                0.98057,                0.98531,                0.98795,                0.77845,                0.83224,                0.46242,                 0.8832,             0.00026783,             0.00026783,             0.00026783
                     58,                 0.9029,                0.53335,                0.90249,                0.98535,                0.98587,                0.98935,                0.78475,                0.82632,                0.45649,                 0.8796,             0.00026201,             0.00026201,             0.00026201
                     59,                 0.8858,                0.53497,                0.89754,                0.98287,                0.98123,                 0.9868,                0.79442,                0.78894,                0.44799,                0.87453,             0.00025619,             0.00025619,             0.00025619
                     60,                 0.8753,                0.52657,                0.89646,                0.98161,                0.98428,                0.98703,                0.78517,                0.82789,                0.44778,                0.87958,             0.00025037,             0.00025037,             0.00025037
                     61,                0.88229,                0.52728,                0.89202,                0.98113,                0.98743,                0.98704,                0.75521,                0.93087,                0.46731,                0.89904,             0.00024455,             0.00024455,             0.00024455
                     62,                0.89809,                 0.5202,                0.89951,                0.97412,                0.98874,                0.98644,                0.79089,                0.80072,                0.44096,                0.88023,             0.00023873,             0.00023873,             0.00023873
                     63,                0.86684,                0.50747,                0.89009,                0.98065,                0.98741,                0.98786,                0.79406,                 0.7947,                0.43716,                0.87434,             0.00023291,             0.00023291,             0.00023291
                     64,                0.85987,                0.50687,                0.89149,                0.98351,                0.98907,                 0.9864,                0.80095,                0.78095,                0.42959,                0.87499,             0.00022709,             0.00022709,             0.00022709
                     65,                0.85055,                0.50034,                0.88804,                 0.9854,                0.98226,                 0.9878,                0.79548,                0.80463,                0.44501,                0.88124,             0.00022126,             0.00022126,             0.00022126
                     66,                 0.8642,                0.51038,                0.89229,                0.98402,                0.98456,                0.98775,                0.79111,                0.81685,                 0.4422,                0.87967,             0.00021544,             0.00021544,             0.00021544
                     67,                0.86449,                0.51079,                0.89382,                0.98552,                0.97951,                0.98821,                0.79347,                0.81934,                0.43673,                0.88059,             0.00020962,             0.00020962,             0.00020962
                     68,                0.85827,                0.50407,                0.88614,                0.98044,                0.98505,                0.98725,                0.79885,                0.78753,                0.43311,                0.87569,              0.0002038,              0.0002038,              0.0002038
                     69,                0.86233,                0.50148,                0.89593,                0.98461,                 0.9843,                0.98692,                0.78773,                 0.8088,                0.43117,                0.87729,             0.00019798,             0.00019798,             0.00019798
                     70,                0.86533,                0.50657,                0.90385,                0.97845,                0.98508,                0.98633,                0.79291,                0.80172,                0.43721,                0.87844,             0.00019216,             0.00019216,             0.00019216
                     71,                0.85002,                0.50051,                0.88612,                0.98144,                 0.9849,                0.98651,                0.78946,                0.80214,                0.44228,                 0.8766,             0.00018634,             0.00018634,             0.00018634
                     72,                0.84231,                0.49561,                0.88434,                0.98189,                0.98311,                0.98687,                0.79053,                0.81631,                0.44855,                0.87956,             0.00018052,             0.00018052,             0.00018052
                     73,                 0.8442,                0.49643,                0.89532,                0.97795,                0.98107,                0.98682,                 0.7921,                0.82509,                0.43607,                0.87989,             0.00017469,             0.00017469,             0.00017469
                     74,                0.82996,                0.48979,                0.88064,                0.98299,                0.98518,                0.98668,                0.78427,                0.84094,                0.43635,                0.88195,             0.00016887,             0.00016887,             0.00016887
                     75,                0.81907,                0.48305,                0.88621,                0.97675,                0.98922,                0.98659,                0.79594,                0.80856,                0.42688,                0.88068,             0.00016305,             0.00016305,             0.00016305
                     76,                0.82825,                0.48998,                0.88293,                0.97933,                 0.9855,                0.98692,                0.79855,                0.79599,                0.42646,                 0.8783,             0.00015723,             0.00015723,             0.00015723
                     77,                0.82102,                0.48039,                0.88373,                0.98313,                0.98238,                0.98751,                0.79309,                0.80602,                0.42997,                0.87849,             0.00015141,             0.00015141,             0.00015141
                     78,                0.82355,                0.48573,                0.88363,                0.98337,                0.98278,                0.98573,                0.79185,                0.80937,                0.42517,                0.88071,             0.00014559,             0.00014559,             0.00014559
                     79,                0.82104,                0.47712,                0.88288,                 0.9787,                0.98363,                 0.9869,                0.79841,                0.80054,                 0.4314,                0.87744,             0.00013977,             0.00013977,             0.00013977
                     80,                 0.8095,                 0.4747,                0.87951,                0.98646,                 0.9809,                0.98721,                0.79734,                0.80151,                0.42052,                0.87488,             0.00013395,             0.00013395,             0.00013395
                     81,                0.82437,                0.47754,                0.88543,                0.97993,                0.98468,                0.98605,                0.79768,                0.79133,                 0.4172,                0.87392,             0.00012813,             0.00012813,             0.00012813
                     82,                0.82676,                0.47555,                0.88561,                0.97941,                0.98438,                0.98688,                0.79035,                0.80823,                0.42012,                0.87594,              0.0001223,              0.0001223,              0.0001223
                     83,                0.81381,                0.47119,                 0.8782,                0.98378,                0.98103,                  0.987,                0.79666,                 0.7961,                0.41477,                0.87534,             0.00011648,             0.00011648,             0.00011648
                     84,                0.81833,                0.46969,                 0.8855,                0.98329,                0.97599,                0.98718,                0.79988,                0.78644,                 0.4189,                0.87384,             0.00011066,             0.00011066,             0.00011066
                     85,                0.80926,                0.46902,                0.87858,                0.98743,                0.97929,                0.98695,                0.79393,                0.79668,                0.40942,                0.87589,             0.00010484,             0.00010484,             0.00010484
                     86,                0.82609,                0.47728,                0.88541,                0.98537,                0.98182,                0.98695,                0.79968,                0.78802,                0.41433,                0.87514,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                0.79689,                0.46638,                0.87553,                0.98459,                0.98063,                0.98727,                 0.7982,                0.78562,                0.40925,                 0.8738,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 0.8051,                0.46548,                0.87999,                0.98512,                0.97704,                0.98691,                 0.7969,                0.80277,                0.41492,                 0.8762,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.80622,                0.47076,                0.88143,                0.97865,                0.98267,                0.98727,                0.78653,                0.82123,                0.42208,                 0.8812,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.81107,                 0.4675,                0.88188,                0.97987,                0.98683,                0.98769,                 0.7983,                0.79304,                0.41517,                0.87618,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.78399,                0.44347,                0.89209,                0.98516,                0.98254,                0.98733,                0.79388,                0.80626,                0.41127,                0.87869,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.77747,                0.43781,                0.89055,                0.98611,                0.97877,                0.98653,                0.79257,                0.81983,                0.41974,                0.88034,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.76752,                0.43134,                0.88581,                0.98329,                0.98625,                0.98673,                0.79251,                0.80887,                0.41473,                0.87846,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.76247,                0.42736,                0.87793,                0.98315,                0.98482,                0.98657,                0.79512,                0.79925,                0.41519,                0.87948,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 0.7615,                0.42056,                 0.8851,                   0.98,                 0.9882,                0.98661,                0.79703,                0.79859,                 0.4084,                0.87569,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.76038,                0.42126,                0.88341,                0.97982,                0.98773,                 0.9868,                0.80046,                0.78658,                0.40911,                0.87549,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.75006,                0.41736,                0.87438,                 0.9822,                 0.9866,                0.98681,                0.79839,                0.79811,                0.40894,                0.87642,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.75757,                0.42569,                0.87843,                0.98261,                0.98639,                0.98684,                0.79919,                0.79067,                0.40912,                0.87541,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.75737,                0.41993,                0.88359,                0.98291,                0.98641,                0.98686,                0.79776,                0.79112,                0.40672,                 0.8756,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                 0.7474,                0.41375,                0.88046,                0.98134,                 0.9877,                0.98704,                0.79584,                0.78838,                0.40818,                0.87506,             1.7522e-05,             1.7522e-05,             1.7522e-05
